Designator,Mid X,Mid Y,Rotation,Layer
C1001,85.4076,-48.041,90.0,top
C101,52.032,-36.103,0.0,top
C102,52.032,-38.897,0.0,top
C103,56.604,-19.593,0.0,top
C104,56.604,-22.387,0.0,top
C105,52.032,-22.387,0.0,top
C106,56.604,-36.103,180.0,top
C107,56.604,-38.897,180.0,top
C108,47.714,-36.103,180.0,top
C109,78.448,-36.103,180.0,top
C110,78.448,-38.897,0.0,top
C1101,21.2472,-65.7194,270.0,top
C111,83.02,-19.593,0.0,top
C112,83.02,-22.387,180.0,top
C113,78.448,-22.387,0.0,top
C114,83.02,-36.103,0.0,top
C115,83.02,-38.897,180.0,top
C116,74.13,-36.103,180.0,top
C117,20.282,-49.311,180.0,top
C118,69.1516,-51.597,180.0,top
C119,20.2312,-69.2754,180.0,top
C120,69.05,-73.187,180.0,top
C1201,21.2472,-72.8314,90.0,top
C121,101.308,-61.503,180.0,top
C122,98.813,-36.841,180.0,top
C123,103.639,-36.841,0.0,top
C124,37.554,-49.311,0.0,top
C125,86.4236,-51.597,0.0,top
C126,37.5032,-69.2754,0.0,top
C127,86.322,-73.187,0.0,top
C1301,36.4872,-72.8314,90.0,top
C1401,36.4872,-65.7194,270.0,top
C1501,70.066,-69.631,270.0,top
C1601,70.066,-76.743,90.0,top
C1701,85.306,-76.743,90.0,top
C1801,85.306,-69.631,270.0,top
C301,21.298,-45.755,90.0,top
C401,21.298,-52.867,270.0,top
C501,36.538,-52.867,270.0,top
C601,36.538,-45.755,90.0,top
C701,70.1676,-48.041,90.0,top
C801,70.1676,-55.153,270.0,top
C901,85.4076,-55.153,270.0,top
J1,55.08,-5.623,270.0,bottom
J2,55.118,-104.648,270.0,bottom
R1001,90.4876,-48.041,270.0,top
R1002,87.9476,-48.041,90.0,top
R1003,81.3436,-46.009,180.0,top
R101,101.054,-58.709,180.0,top
R102,101.196,-64.127,180.0,top
R103,61.049,-22.387,270.0,top
R104,87.084,-22.387,270.0,top
R1101,16.1672,-65.7194,270.0,top
R1102,18.7072,-65.7194,90.0,top
R1103,25.3112,-63.6874,0.0,top
R1201,16.1672,-72.8314,90.0,top
R1202,18.7072,-72.8314,270.0,top
R1203,25.3112,-74.8634,0.0,top
R1301,41.5672,-72.8314,90.0,top
R1302,39.0272,-72.8314,270.0,top
R1303,32.4232,-74.8634,180.0,top
R1401,41.5672,-65.7194,270.0,top
R1402,39.0272,-65.7194,90.0,top
R1403,32.4232,-63.6874,180.0,top
R1501,64.986,-69.5275,270.0,top
R1502,67.526,-69.631,90.0,top
R1503,74.13,-67.599,0.0,top
R1601,64.986,-76.743,90.0,top
R1602,67.526,-76.743,270.0,top
R1603,74.13,-78.775,0.0,top
R1701,90.386,-76.743,90.0,top
R1702,87.846,-76.743,270.0,top
R1703,81.242,-78.775,180.0,top
R1801,90.386,-69.631,270.0,top
R1802,87.846,-69.631,90.0,top
R1803,81.242,-67.599,180.0,top
R301,16.218,-45.755,270.0,top
R302,18.758,-45.755,90.0,top
R303,25.362,-43.723,0.0,top
R401,16.218,-52.867,90.0,top
R402,18.758,-52.867,270.0,top
R403,25.362,-54.899,0.0,top
R501,41.618,-52.867,90.0,top
R502,39.078,-52.867,270.0,top
R503,32.474,-54.899,180.0,top
R601,41.618,-45.755,270.0,top
R602,39.078,-45.755,90.0,top
R603,32.474,-43.723,180.0,top
R701,65.0876,-48.041,270.0,top
R702,67.6276,-48.041,90.0,top
R703,74.2316,-46.009,0.0,top
R801,65.0876,-55.153,90.0,top
R802,67.6276,-55.153,270.0,top
R803,74.2316,-57.185,0.0,top
R901,90.4876,-55.153,90.0,top
R902,87.9476,-55.153,270.0,top
R903,81.3436,-57.185,180.0,top
U1,54.318,-29.245,0.0,top
U101,101.181,-32.039,270.0,top
U2,80.726,-29.245,0.0,top
U3,28.918,-49.311,270.0,top
U4,77.7876,-51.597,270.0,top
U5,28.8672,-69.2754,270.0,top
U6,77.686,-73.187,270.0,top
